cell_types
OnP
OffP
OnM
BlueOffM
OffM
OnS
OffS
SBC
BT
OnMystery
OffMystery
OffBoring
OnWiggles
OnLarge
OffLarge
Xmas
RB
Tufted
BlueMystery
A1
Amacrine
InterestingIfTrue
BigMas
Spotty
Shadow
Blobby
BluePeaky
